Year,P&L Line,Geography,Operating Unit,Global Categories,Mapping,USD (Millions),Local Currency (Millions)
2019,Unit Cases (UCS),ASP OU,ASP OU,Total Category,1,1990.4924,1990.4924
2019,Gross Revenue,ASP OU,ASP OU,Total Category,2,1169.5693,3039723.1340
2019,DfR,ASP OU,ASP OU,Total Category,3,97.5872,36671.3193
2019,Net Revenue,ASP OU,ASP OU,Total Category,4,1071.9821,3003051.8147
2019,COGS,ASP OU,ASP OU,Total Category,5,177.4268,617969.4548
2019,Gross Profit,ASP OU,ASP OU,Total Category,6,894.5553,2385082.3598
2019,DME,ASP OU,ASP OU,Total Category,7,258.9026,959715.9333
2019,Operating Expenses,ASP OU,ASP OU,Total Category,9,149.2261,386953.0887
2019,Operating Income,ASP OU,ASP OU,Total Category,10,486.4267,1038413.3378
2019,Unit Cases (UCS),ASP OU,ASP OU,Coca-Cola,1,926.0664,926.0664
2019,Gross Revenue,ASP OU,ASP OU,Coca-Cola,2,644.0639,1271854.7795
2019,DfR,ASP OU,ASP OU,Coca-Cola,3,56.6922,12261.8111
2019,Net Revenue,ASP OU,ASP OU,Coca-Cola,4,587.3716,1259592.9684
2019,COGS,ASP OU,ASP OU,Coca-Cola,5,65.9598,130194.7137
2019,Gross Profit,ASP OU,ASP OU,Coca-Cola,6,521.4118,1129398.2547
2019,DME,ASP OU,ASP OU,Coca-Cola,7,146.3658,420424.0932
2019,Operating Expenses,ASP OU,ASP OU,Coca-Cola,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Coca-Cola,10,375.0461,708974.1616
2019,Unit Cases (UCS),ASP OU,ASP OU,Sparkling Flavors,1,584.4363,584.4363
2019,Gross Revenue,ASP OU,ASP OU,Sparkling Flavors,2,322.4359,877564.3491
2019,DfR,ASP OU,ASP OU,Sparkling Flavors,3,26.4917,5626.3210
2019,Net Revenue,ASP OU,ASP OU,Sparkling Flavors,4,295.9442,871938.0281
2019,COGS,ASP OU,ASP OU,Sparkling Flavors,5,61.2227,185296.2531
2019,Gross Profit,ASP OU,ASP OU,Sparkling Flavors,6,234.7215,686641.7750
2019,DME,ASP OU,ASP OU,Sparkling Flavors,7,48.5253,167006.0363
2019,Operating Expenses,ASP OU,ASP OU,Sparkling Flavors,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Sparkling Flavors,10,186.1962,519635.7387
2019,Unit Cases (UCS),ASP OU,ASP OU,Packaged Water,1,315.9486,315.9486
2019,Gross Revenue,ASP OU,ASP OU,Packaged Water,2,45.2178,62012.1321
2019,DfR,ASP OU,ASP OU,Packaged Water,3,7.7660,4360.1856
2019,Net Revenue,ASP OU,ASP OU,Packaged Water,4,37.4518,57651.9465
